omega,amplitude
0.100000000000,0.416750296535
0.150000000000,0.483788103082
0.200000000000,0.519099271232
0.250000000000,0.550369313221
0.300000000000,0.546479886818
0.350000000000,0.574758961114
0.400000000000,0.601659410379
0.450000000000,0.629141315055
0.500000000000,0.634909920245
0.550000000000,0.717806868096
0.600000000000,0.786269909808
0.650000000000,0.861893947170
0.700000000000,0.982018984735
0.750000000000,1.141339392563
0.800000000000,1.375359918888
0.850000000000,1.775224657972
0.900000000000,2.558008789744
0.950000000000,4.586348368602
1.000000000000,9.825512874181
1.050000000000,4.345747768470
1.100000000000,2.314567608330
1.150000000000,1.534383288955
1.200000000000,1.122202437806
1.250000000000,0.882662472742
1.300000000000,0.722362119975
1.350000000000,0.605796141570
1.400000000000,0.518164522045
1.450000000000,0.453004186104
1.500000000000,0.398807501736
1.550000000000,0.354405517711
1.600000000000,0.321006875150
1.650000000000,0.289946522561
1.700000000000,0.264303331541
1.750000000000,0.243237539274
1.800000000000,0.221892207671
1.850000000000,0.206438856605
1.900000000000,0.190648207069
1.950000000000,0.178814894593
2.000000000000,0.166821192799
2.050000000000,0.156220131479
2.100000000000,0.145818070828
2.150000000000,0.137538182044
2.200000000000,0.129293503610
2.250000000000,0.122215776478
2.300000000000,0.115950870463
2.350000000000,0.111146143661
2.400000000000,0.104912071822
2.450000000000,0.100358385226
2.500000000000,0.095518172635
2.550000000000,0.090971234103
2.600000000000,0.086291093891
2.650000000000,0.082794369593
2.700000000000,0.078663775834
2.750000000000,0.075685775786
2.800000000000,0.072112016294
2.850000000000,0.069514396635
2.900000000000,0.066487341861
2.950000000000,0.064768904914
3.000000000000,0.061641634291
